SNo,Franchise Code,Name,Invoice Number,Credit Amount,Outstanding Amount,Posting Date,Credit/Debit Date
1,666,BHARATH CYCLE HUB,27-EM-2425-05148,0.00,193996.00,September 12 2024,October 7 2024
2,666,BHARATH CYCLE HUB,29-EM-2425-01059,0.00,141994.00,September 12 2024,October 7 2024
3,666,BHARATH CYCLE HUB,27-EM-2425-05255,0.00,444361.00,September 16 2024,October 7 2024
4,666,BHARATH CYCLE HUB,29-EM-2425-01089,0.00,392988.00,September 16 2024,October 7 2024
5,666,BHARATH CYCLE HUB,29-EM-2425-01096,0.00,130500.00,September 17 2024,October 7 2024
6,666,BHARATH CYCLE HUB,29-EM-2425-01152,0.00,129995.00,September 21 2024,October 7 2024
7,666,BHARATH CYCLE HUB,29-EM-2425-01247,0.00,687109.00,September 24 2024,October 7 2024
8,666,BHARATH CYCLE HUB,27-EM-2425-05683,0.00,72719.00,September 26 2024,October 7 2024
9,666,BHARATH CYCLE HUB,29-EM-2425-01397,0.00,275994.00,September 28 2024,October 7 2024
10,666,BHARATH CYCLE HUB,29-EM-2425-01515,0.00,109995.00,October 1 2024,October 7 2024
0.00,2579651.00
0.00,3031637.00
